Search Query,Clicks,Impressions,CTR,Average Position,Intent,Group,Sub-Group,Search-Group
menu wire bowl,1,10,10,1.4,#ff4000,Menu,Product,Gardening
menu tribeca,4,101,3.96,5.64,#ff4000,Menu,Designer,Designer
menu tr bulb pendant,2,45,4.44,2.82,#ff4000,Menu,Product,Lighting
menu bollard lamp,4,54,7.41,5.65,#ff4000,Menu,Product,Lighting
menu synnes chair,3,41,7.32,4.27,#ff4000,Menu,Product,Chair
menu tearoom club chair,4,26,15.38,5.69,#ff4000,Menu,Product,Chair
menu task,2,20,10,2.85,#ff4000,Menu,Product,Designer
menu wire base,6,66,9.09,8.68,#ff4000,Menu,Product,Gardening
store menu design,1,22,4.55,1.45,#ff4000,Menu,Generic,Shop
menu glass teapot,4,21,19.05,5.86,#ff4000,Menu,Product,Dinnerware
afteroom bar chair,2,49,4.08,2.96,#ff4000,Product/Designer,Product,Chair
cool breather,2,4,50,3,#ff4000,Product/Designer,Product,Accessories
menu septembre chair,1,4,25,1.5,#ff4000,Menu,Product,Chair
menu nono,2,15,13.33,3,#ff4000,Menu,Product,Designer
store menu,4,91,4.4,6,#ff4000,Menu,Generic,Shop
menu stem vase,1,48,2.08,1.5,#ff4000,Menu,Product,Accessories
menu towel ladder,3,113,2.65,4.6,#ff4000,Menu,Product,Accessories
menu gravel rug,2,31,6.45,3.1,#ff4000,Menu,Product,Flooring
menu afteroom counter stool,2,36,5.56,3.11,#ff4000,Menu,Product,Stool
menu copenhagen tray table,3,71,4.23,4.69,#ff4000,Menu,Product,Table
wire base,2,71,2.82,3.14,#ff4000,Product/Designer,Product,Gardening
beer foamer,1,14,7.14,1.57,#ff4000,Product/Designer,Product,Accessories
menu afteroom dining chair,1,14,7.14,1.57,#ff4000,Menu,Product,Chair
menu yeh wall table,2,34,5.88,3.15,#ff4000,Menu,Product,Table
menu bath accessories,5,18,27.78,7.94,#ff4000,Menu,Generic,Bath
nono table,3,34,8.82,4.79,#ff4000,Product/Designer,Product,Table
wall cage shelf,1,23,4.35,1.61,#3dff47,Organic,Product,Fixtures
menu willmann vase,2,27,7.41,3.22,#ff4000,Menu,Product,Accessories
menu side table,2,87,2.3,3.23,#ff4000,Menu,Product,Table
tall plinth,1,13,7.69,1.62,#ff4000,Product/Designer,Product,Designer
septembre coffee table,3,47,6.38,4.87,#ff4000,Product/Designer,Product,Table
menu wine carafe,1,8,12.5,1.63,#ff4000,Menu,Product,Accessories
menu world lamp,3,26,11.54,4.88,#ff4000,Menu,Product,Lighting
menu phare led lamp,2,27,7.41,3.26,#ff4000,Menu,Product,Lighting
menu vase,10,347,2.88,16.38,#ff4000,Menu,Product,Accessories
menu peek floor lamp,2,27,7.41,3.3,#ff4000,Menu,Product,Lighting
offset sofa menu,2,16,12.5,3.31,#ff4000,Menu,Product,Sofa
menu denmark,3,114,2.63,4.97,#ff4000,Menu,Generic,Shop
menu lamps,5,102,4.9,8.32,#ff4000,Menu,Generic,Lighting
menu furniture chairs,1,3,33.33,1.67,#ff4000,Menu,Generic,Chair
menu salt and pepper shakers,1,6,16.67,1.67,#ff4000,Menu,Product,Accessories
menu home goods,4,15,26.67,6.67,#ff4000,Menu,Generic,Shop
menu wall lamp,2,24,8.33,3.33,#ff4000,Menu,Product,Lighting
menu androgyne,2,41,4.88,3.34,#ff4000,Menu,Product,Designer
menu echasse bowl,3,40,7.5,5.03,#ff4000,Menu,Product,Dinnerware
gridy me mirror,3,33,9.09,5.06,#ff4000,Product/Designer,Product,Accessories
norm architects chair,3,32,9.38,5.06,#ff4000,Product/Designer,Product,Chair
shop menu,1,117,0.85,1.7,#ff4000,Menu,Generic,Shop
menu sweeper & funnel,2,9,22.22,3.44,#ff4000,Menu,Product,Accessories
peek floor lamp,2,56,3.57,3.45,#ff4000,Product/Designer,Product,Lighting
shop menu design,1,47,2.13,1.72,#ff4000,Menu,Generic,Shop
menu lights,2,61,3.28,3.48,#ff4000,Menu,Product,Lighting
tailor lounge sofa,2,21,9.52,3.48,#ff4000,Product/Designer,Product,Sofa
wine breather by norm,3,64,4.69,5.23,#ff4000,Product/Designer,Product,Accessories
godot sofa,2,28,7.14,3.54,#ff4000,Product/Designer,Product,Sofa
menu wiper,3,23,13.04,5.3,#ff4000,Menu,Product,Accessories
menu pepe marble mirror,1,9,11.11,1.78,#ff4000,Menu,Product,Accessories
afteroom bench,2,34,5.88,3.56,#ff4000,Product/Designer,Product,Bench
menu decanting pourer,2,14,14.29,3.57,#ff4000,Menu,Product,Accessories
menu bar stool,1,60,1.67,1.82,#ff4000,Menu,Product,Stool
menu outlet,3,11,27.27,5.45,#ff4000,Menu,Generic,Shop
menu world design,2,24,8.33,3.67,#ff4000,Menu,Generic,Shop
"tr bulb, suspension frame",1,6,16.67,1.83,#ff4000,Product/Designer,Product,Lighting
menu floor mirror,4,24,16.67,7.42,#ff4000,Menu,Product,Accessories
peek table lamp,2,13,15.38,3.77,#ff4000,Product/Designer,Product,Lighting
jwda menu,1,11,9.09,1.91,#ff4000,Menu,Product,Designer
menu bottle grinder steel,3,12,25,5.75,#ff4000,Menu,Product,Accessories
menu copenhagen,3,71,4.23,5.77,#ff4000,Menu,Generic,Shop
synnes chair,1,19,5.26,1.95,#ff4000,Product/Designer,Product,Chair
norm towel ladder,2,25,8,3.92,#ff4000,Product/Designer,Product,Accessories
menu harrison chandelier,1,27,3.7,1.96,#ff4000,Menu,Product,Lighting
menu kitchenware,3,55,5.45,5.89,#ff4000,Menu,Generic,Accessories
menu floor lamp,2,34,5.88,3.94,#ff4000,Menu,Product,Lighting
menu wire bin,3,25,12,5.96,#ff4000,Menu,Product,Gardening
menu echasse,3,45,6.67,5.98,#ff4000,Menu,Product,Designer
tribeca leonard chandelier,1,5,20,2,#ff4000,Product/Designer,Product,Lighting
menu desk,1,9,11.11,2,#ff4000,Menu,Product,Designer
menu tribeca light,1,11,9.09,2,#ff4000,Menu,Product,Lighting
menu tr bulb table lamp,2,16,12.5,4.06,#ff4000,Menu,Product,Lighting
menu.as,2,327,0.61,4.06,#ff4000,Menu,Generic,Shop
menu jwda,5,118,4.24,10.2,#ff4000,Menu,Product,Designer
menu chambers chandelier,2,32,6.25,4.09,#ff4000,Menu,Product,Lighting
menu harbour lounge chair,3,23,13.04,6.17,#ff4000,Menu,Product,Chair
menu design shop outlet,1,15,6.67,2.07,#ff4000,Menu,Generic,Shop
align daybed,1,27,3.7,2.07,#ff4000,Product/Designer,Product,Daybed
cyclades vase menu,2,15,13.33,4.2,#ff4000,Menu,Product,Accessories
afteroom,3,242,1.24,6.35,#ff4000,Product/Designer,Designer,Designer
circle vase,1,145,0.69,2.14,#3dff47,Organic,Product,Accessories
menu plates,4,23,17.39,8.74,#ff4000,Menu,Generic,Dinnerware
menu afteroom coat hanger small,2,16,12.5,4.38,#ff4000,Menu,Product,Hanger
tr bulb pendant menu,1,5,20,2.2,#ff4000,Menu,Product,Lighting
norm architects mirror,1,15,6.67,2.2,#ff4000,Product/Designer,Product,Accessories
menu design sale,2,22,9.09,4.45,#ff4000,Menu,Generic,Shop
menu x norm,3,80,3.75,6.69,#ff4000,Menu,Designer,Designer
menu harbour side chair,3,58,5.17,6.69,#ff4000,Menu,Product,Chair
androgyne side table menu,2,19,10.53,4.47,#ff4000,Menu,Product,Table
folded vase,2,38,5.26,4.47,#ff4000,Product/Designer,Product,Accessories
bottle grinder by norm architects,1,4,25,2.25,#ff4000,Product/Designer,Product,Accessories
menu as,2,668,0.3,4.52,#ff4000,Menu,Generic,Shop
kaschkasch floor mirror,1,19,5.26,2.26,#ff4000,Product/Designer,Product,Accessories
menu furniture design,2,62,3.23,4.55,#ff4000,Menu,Generic,Furniture
afteroom dining chair plus,1,20,5,2.3,#ff4000,Product/Designer,Product,Chair
menu light,4,157,2.55,9.3,#ff4000,Menu,Generic,Lighting
norm floor mirror menu,1,3,33.33,2.33,#ff4000,Menu,Product,Accessories
menu brand,2,146,1.37,4.68,#ff4000,Menu,Generic,Shop
norm architects furniture,3,36,8.33,7.03,#ff4000,Product/Designer,Designer,Furniture
menu gridy fungi shelf,3,26,11.54,7.04,#ff4000,Menu,Product,Fixtures
snaregade dining table,3,26,11.54,7.12,#ff4000,Product/Designer,Product,Table
menu septembre,2,8,25,4.75,#ff4000,Menu,Product,Designer
menu synnes,2,21,9.52,4.76,#ff4000,Menu,Product,Designer
echasse vase,3,115,2.61,7.17,#ff4000,Product/Designer,Product,Accessories
menu godot sofa,2,51,3.92,4.82,#ff4000,Menu,Product,Sofa
carrie led,1,26,3.85,2.42,#ff4000,Product/Designer,Product,Lighting
gravel rug menu,2,7,28.57,4.86,#ff4000,Menu,Product,Flooring
menu bath,1,14,7.14,2.43,#ff4000,Menu,Generic,Bath
baggy wine coat,1,21,4.76,2.43,#ff4000,Product/Designer,Product,Accessories
menu plate,1,188,0.53,2.44,#ff4000,Menu,Product,Dinnerware
tailor sofa,1,26,3.85,2.46,#ff4000,Product/Designer,Product,Sofa
menu world lighting,2,14,14.29,4.93,#ff4000,Menu,Product,Lighting
troll vase menu,2,15,13.33,4.93,#ff4000,Menu,Product,Accessories
douwes lamp & socket,1,2,50,2.5,#ff4000,Product/Designer,Product,Lighting
carrie led lamp menu,2,8,25,5,#ff4000,Menu,Product,Lighting
harbour side chair,3,47,6.38,7.62,#ff4000,Product/Designer,Product,Chair
menu tied pendant,1,22,4.55,2.55,#ff4000,Menu,Product,Lighting
carrie lamp,2,75,2.67,5.12,#ff4000,Product/Designer,Product,Lighting
carrie led portable lamp,2,10,20,5.2,#ff4000,Product/Designer,Product,Lighting
plinth low,2,14,14.29,5.21,#ff4000,Product/Designer,Product,Designer
harbour side chair menu,2,10,20,5.3,#ff4000,Menu,Product,Chair
menu afternoon,2,10,20,5.3,#ff4000,Menu,Designer,Designer
ava hanger,1,22,4.55,2.68,#ff4000,Product/Designer,Product,Hanger
menu carrie lamp brass,1,16,6.25,2.69,#ff4000,Menu,Product,Lighting
menu kaschkasch floor mirror,1,17,5.88,2.76,#ff4000,Menu,Product,Accessories
stick system menu,2,20,10,5.55,#ff4000,Menu,Product,Accessories
menu eave modular sofa,1,10,10,2.8,#ff4000,Menu,Product,Sofa
menu stone lamp,1,35,2.86,2.8,#ff4000,Menu,Product,Lighting
norm table,1,153,0.65,2.8,#ff4000,Product/Designer,Product,Table
sweeper and funnel,2,23,8.7,5.65,#ff4000,Product/Designer,Product,Accessories
menu cage,1,12,8.33,2.83,#ff4000,Menu,Product,Accessories
menu table,5,369,1.36,14.28,#ff4000,Menu,Product,Table
cast pendant menu,1,9,11.11,2.89,#ff4000,Menu,Product,Lighting
menu new norm dinnerware,1,27,3.7,2.89,#ff4000,Menu,Product,Dinnerware
menu sofas,1,10,10,2.9,#ff4000,Menu,Generic,Sofa
menu stools,1,30,3.33,2.9,#ff4000,Menu,Generic,Stool
